title,author,year,tradition,key_concepts,short_summary,central_argument,related_books,source
Republic,Plato,-380,Ancient Greek,justice; the good; philosopher-king; the soul; ideal state,"Plato's dialogue exploring the nature of justice, the ideal city-state, and the philosopher's role in governance.","Justice is harmony — each part of the soul and city doing its proper function. Only philosopher-kings, who know the Form of the Good, are fit to rule.",Nicomachean Ethics; Leviathan; A Theory of Justice,
Nicomachean Ethics,Aristotle,-340,Ancient Greek,virtue; eudaimonia; the golden mean; practical wisdom; friendship,Aristotle's systematic account of how humans can live well and achieve happiness through virtuous activity.,Happiness (eudaimonia) is not a feeling but an activity — living and functioning well according to virtue over a complete life.,Republic; Meditations; The Nicomachean Ethics Commentary,
Meditations,Marcus Aurelius,180,Stoicism,stoicism; virtue; duty; impermanence; reason; self-discipline,Personal writings of the Roman emperor Marcus Aurelius — a private journal of Stoic philosophical practice.,"We cannot control external events, only our responses. Virtue and reason are the only true goods. Death and change are natural — accept them.",Nicomachean Ethics; Thus Spoke Zarathustra; The Enchiridion,
Leviathan,Thomas Hobbes,1651,Political Philosophy,social contract; state of nature; sovereignty; power; commonwealth,"Hobbes argues that without political authority, human life is war of all against all, requiring a sovereign to maintain peace.","In the state of nature life is 'solitary, poor, nasty, brutish, and short.' Rational agents agree to a social contract surrendering freedoms to a sovereign for security.",Republic; Second Treatise of Government; The Social Contract,
Second Treatise of Government,John Locke,1689,Political Philosophy,natural rights; consent; property; revolution; social contract,Locke argues that legitimate government derives from the consent of the governed and must protect natural rights.,"People have natural rights to life, liberty, and property. Government is legitimate only by consent. When it violates rights, revolution is justified.",Leviathan; The Social Contract; A Theory of Justice,
Critique of Pure Reason,Immanuel Kant,1781,German Idealism,a priori; categories of understanding; phenomena; noumena; transcendental idealism,"Kant's investigation into the conditions and limits of human knowledge, synthesizing rationalism and empiricism.","The mind actively structures experience. Space, time, and categories like causality are frameworks the mind imposes on reality — not features of things-in-themselves.",Phenomenology of Spirit; Tractatus Logico-Philosophicus; Meditations on First Philosophy,
Phenomenology of Spirit,G.W.F. Hegel,1807,German Idealism,dialectic; spirit; consciousness; master-slave; absolute knowing,Hegel traces the development of consciousness from simple sense-perception to absolute knowing through dialectical stages.,Consciousness develops through contradiction and resolution (thesis-antithesis-synthesis). Spirit (Geist) realizes itself through history and human self-understanding.,Critique of Pure Reason; Thus Spoke Zarathustra; Being and Time,
Thus Spoke Zarathustra,Friedrich Nietzsche,1883,Existentialism,will to power; eternal recurrence; Übermensch; nihilism; slave morality,"Through the prophet Zarathustra, Nietzsche proclaims the death of God and calls for a revaluation of all values.","With God dead, humanity must create its own values. The Übermensch embraces life, affirms eternal recurrence, and overcomes nihilism through creative will.",Being and Time; Phenomenology of Spirit; Meditations,
Being and Time,Martin Heidegger,1927,Existentialism,Dasein; being-in-the-world; authenticity; thrownness; death; care,Heidegger investigates the meaning of Being through analysis of human existence (Dasein) and our relationship with time.,Humans are 'thrown' into existence without choosing it. Authentic existence means owning one's finitude and living toward death rather than fleeing into 'the they'.,Thus Spoke Zarathustra; Phenomenology of Spirit; Nausea,
A Theory of Justice,John Rawls,1971,Political Philosophy,veil of ignorance; original position; difference principle; fairness; liberty,Rawls constructs principles of justice that rational agents would choose if they did not know their place in society.,"Justice is fairness. Behind a veil of ignorance, rational agents choose: equal basic liberties for all, and social inequalities only if they benefit the least advantaged.",Republic; Second Treatise of Government; Leviathan,
